nome_fantasia,slug,inicio_atividades,porte_empresa,nome_cidade,sigla_uf,populacao_cidade,latitude_cidade,longitude_cidade,dist_1,dist_2,dist_3,dist_4
A A P R,a-a-p-r,27/11/1998,5,Ilhéus,BA,157639,-14.793,-39.046,246KM,281KM,211KM,193KM
A & J CARGAS,a-j-cargas,16/08/2001,1,Simões Filho,BA,137117,-12.7866,-38.4029,13KM,84KM,23KM,349KM
A & B RECICLAGEM,a-b-reciclagem,02/09/2009,1,Simões Filho,BA,137117,-12.7866,-38.4029,13KM,84KM,23KM,349KM
A B IMPORTADOS,a-b-importados,01/04/1998,1,Senhor do Bonfim,BA,79813,-10.4594,-40.1865,321KM,241KM,334KM,495KM
A & L MAGAZINE,a-l-magazine,02/02/1998,1,Condeúba,BA,17113,-14.9022,-41.9718,465KM,439KM,433KM,121KM
A A BRITO REPRESENTACOES DE MATERIAL DE CONSTRUCOES,a-a-brito-representacoes-de-material-de-construcoes,03/03/2008,1,Seabra,BA,44370,-12.4169,-41.7722,375KM,305KM,360KM,290KM
A BENCAO,a-bencao,18/08/2004,5,Camaçari,BA,309208,-12.6996,-38.3263,0KM,85KM,36KM,362KM
A BARATINHA,a-baratinha,02/08/2007,1,Itaeté,BA,16164,-12.9831,-40.9677,288KM,232KM,267KM,209KM
A BAHIA,a-bahia,17/04/2001,1,Mascote,BA,13619,-15.5542,-39.3016,335KM,367KM,300KM,183KM
A BARATINHA CONFECCOES,a-baratinha-confeccoes,31/10/2005,1,Itabuna,BA,214123,-14.7876,-39.2781,254KM,282KM,219KM,169KM
A BICICLETA,a-bicicleta,30/06/1992,1,Camaçari,BA,309208,-12.6996,-38.3263,0KM,85KM,36KM,362KM
A BIOQUIMIKA FARMACIA DE MANIPULACAO,a-bioquimika-farmacia-de-manipulacao,21/06/2005,1,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
A C A F A D,a-c-a-f-a-d,17/05/1999,5,Tucano,BA,50903,-10.9584,-38.7894,200KM,147KM,226KM,487KM
A C B C,a-c-b-c,26/04/1999,5,Bonito,BA,16999,-11.9668,-41.2647,329KM,252KM,320KM,325KM
